sub,run,CA23DG_competitor,CA23DG_target,CA1_competitor,CA1_target
1,IP,-0.0156476353097783,-0.00783913793550474,-0.0214317027933927,-0.0199462831840966
1,pre-IP,-0.0192094846571024,-0.00992629997465572,0.00279400931086192,-0.0113777097962106
2,IP,-0.0208588644889278,0.00508255527680847,-9.29638704175249e-4,-0.00635678824250362
2,pre-IP,0.00367067661552334,-0.0419508381975049,0.00720694181263125,0.00620085579022495
3,IP,0.021778282524521,0.0177285950913191,-0.0199629226693979,-6.42352000487106e-4
3,pre-IP,0.0111767119930558,-0.0132649047897172,-0.00875570681033081,0.0148377471694425
4,IP,0.021825032775394,-0.00146656776160689,0.0323317812557838,0.0169977203130066
4,pre-IP,-0.0220516884829415,-0.0339000834374173,0.0135315010763845,0.00458958806093652
5,IP,0.00238832570313231,0.00443444464750041,0.0128050444503434,0.00760478748843273
5,pre-IP,0.00411809246738818,-0.0515753656797549,4.10954025995662e-5,-0.0156892561565463
6,IP,0.019498881296819,0.0273943278275308,-0.0153852476309152,0.00708887976714035
6,pre-IP,0.0144134837855473,-0.00787480479043651,-0.0303267282211818,0.0073793972281827
7,IP,-0.0277928109875831,-0.00667692573273263,-0.0188211244535994,0.00506600888025578
7,pre-IP,0.018240751549151,0.0185101271904597,-0.0580125072339556,-0.00804972526313284
9,IP,-0.0398851949179203,-0.0272113491042532,-0.00594659901548264,-0.00931763449754186
9,pre-IP,0.0203814093207894,-0.0094250074598806,0.0257680881610753,0.00230937396129335
10,IP,-0.0227737557828926,-0.00591831467049466,-0.0102539505998159,-0.0372381988208689
10,pre-IP,0.00559439067907395,-0.0551521789790535,-0.00240612443083788,-0.0157613732364798
11,IP,-0.0269286423787151,-0.0114027844184351,0.0144834257776301,0.0101794994088367
11,pre-IP,0.0351108211301971,3.12356824844771e-4,0.00875976728373756,-0.0330353587929567
12,IP,-0.0159956396447395,-0.00630562425037077,-0.0174226681547245,0.0060216927641659
12,pre-IP,0.0105436146262585,0.0070258942489971,0.0157578516731395,-0.00708819251600159
13,IP,-0.0257603626203432,0.0280370380477269,0.00927188801854943,-0.00901039703332637
13,pre-IP,0.01846212709993,0.0270819407041489,0.0119737993308893,-0.00310973825924232
14,IP,-0.00143446826479831,3.33435483930295e-4,0.0075768557717674,-0.00804147971743641
14,pre-IP,-0.00152289723616907,-0.00532423029926184,0.00389723441404328,-0.0143765133829348
17,IP,0.0305810350393715,-0.00231364776225438,0.00539205889426175,-0.00730162172768277
17,pre-IP,0.0217227736807277,-0.0109678038281791,0.0105743465265742,0.0084339313777811
18,IP,0.0276304436989984,0.0152862776137551,0.0159679582122217,-0.00126676190425102
18,pre-IP,0.0185932932356512,-0.0287236534346506,0.0280980769241287,0.0418778741312801
19,IP,-0.0345465781068,-0.0152599680723908,0.00798306877648856,5.46550045807124e-4
19,pre-IP,-0.0115218869047028,-0.0228122922980564,0.00382528844092433,-0.020041580613232
20,IP,0.0155851452638289,-0.00460594799558153,0.00365688035685491,0.00913195366849278
20,pre-IP,-0.0374953587671031,-0.0337738144153978,0.0217061943218934,0.00334564438325749
21,IP,-4.1265100451759e-4,-0.00214979165261347,-0.0152307461797737,0.00796180367154604
21,pre-IP,-0.0152184553319293,-0.0258467183707666,-0.00466322466908874,-0.0170091720883413
22,IP,-0.0134034771560874,-0.00430781342500724,0.00998576863150538,0.0227481433483726
22,pre-IP,0.00737208321825471,0.0114504632123006,-0.00959796982543914,0.0287414414989058
23,IP,-0.0175851949788458,0.0149999124288013,0.0249388781526918,0.0210663957998972
23,pre-IP,-0.0144970395100155,-0.00391962924783213,0.00708417744281259,0.00475420505823362
24,IP,-0.00891731237263416,0.0126344620583591,0.0232738696434633,0.024493007372542
24,pre-IP,0.0120389862626133,-0.00342036128797327,0.0104479071300586,-0.0095661371307795
25,IP,-0.00494326518762877,-0.020096639589071,0.00555065435196953,0.0265893884712043
25,pre-IP,0.0276916987956379,0.0477810235737974,-0.013311402710029,0.0152443389294548
26,IP,0.00380620926868203,0.0249235795497835,0.0179806747312958,0.0186117610203577
26,pre-IP,-0.00340548412905276,-0.0112940452650107,0.00192709896697117,0.00229220742177577
27,IP,-0.00923234198660784,-0.0200905561195212,-0.0093203813830641,-0.019351399567934
27,pre-IP,0.0167242811168728,0.0128971073955795,0.00263939320554066,5.12814670220424e-4
28,IP,-0.0112570453043166,0.0271375505497829,0.00682317886185976,0.00678813572870328
28,pre-IP,0.0105288485164562,0.00646976133277195,-0.00630721673773393,-0.00730153001043699
29,IP,-0.0261949152602542,-0.00729473582288428,-0.0197494359282542,-0.0103068383421382
29,pre-IP,-0.0183025674807903,0.00995689836411416,0.042718424472293,0.0245117071659071
31,IP,0.0135720031878313,-0.0170296185390176,-0.0217426018230577,0.020483022045398
31,pre-IP,-0.0159703901788312,0.012007962990093,-0.0289051477646347,-0.0408575756899828
32,IP,-0.012431930426564,0.00734497617267608,0.0384947619537212,0.0179115669757127
32,pre-IP,-0.0030112177358776,-0.00807290643362361,0.0153399640467598,-0.0264388799777328
33,IP,0.00441751843688146,-0.00251501589141818,-0.00551223089266925,-0.0265987715626746
33,pre-IP,0.0272300684893425,-0.0253724058409932,-0.0341192465776169,-0.0136363521327228
35,IP,-0.00634175468050975,0.0152786179623916,0.0303228244584982,-6.34828210861768e-4
35,pre-IP,0.00616327537404159,0.0239370783285424,0.0274271505080405,-0.0150740837160057
36,IP,-0.0101561743951792,-0.0121334313675154,0.0165970508255898,-0.0161943871448457
36,pre-IP,0.00712968631824534,-0.00147637382149451,-0.0122596367828879,0.00917886879836694
