sub,run,PPA_competitor,PPA_target,EVC_competitor,EVC_target
1,IP,-0.010034738711484,0.0272141470954518,-0.0141721746927756,-0.0190925708637859
1,pre-IP,-0.0229174524693721,-0.0086677420915223,0.019217423072771,-0.00996242711457053
2,IP,0.0196812016163799,3.67116001848175e-4,0.0291918369003848,0.0529751968777812
2,pre-IP,-0.00506519295781523,-0.0281758333910017,-0.0094725129948231,-0.0190870302435726
3,IP,0.0244759718275774,0.00436546457220167,-0.007568814428147,0.00420363171682022
3,pre-IP,0.00209936207748737,0.00687532842622932,-0.00219998129392849,-0.00581492282454918
4,IP,0.021014153521737,0.00609119415806063,0.00206180412530838,0.0132945815159692
4,pre-IP,0.0153171183549049,-0.00375254327016103,0.0253873123710676,-0.00225839093706478
5,IP,-0.016098977238671,0.0232792973662329,-0.0189927239108132,0.00441449089266849
5,pre-IP,0.0122062181125825,-0.0028366731733725,0.00976386885752395,0.0137350468808713
6,IP,-0.00588967650772469,0.0299772852051744,0.0321100692157974,0.0494267604184596
6,pre-IP,0.015612171500547301,0.0125555031426692,0.0124776825756482,0.0331653671500376
7,IP,0.0273593791267556,-0.0152096247865265,0.00410914768844615,-0.00850343365539112
7,pre-IP,-0.0012824398557785,-0.0072767037562585,0.00843257266306089,0.00867807691399682
9,IP,-0.00538825919220136,0.0118357383386335,-0.0173430761280676,-0.00335997121000775
9,pre-IP,-8.22676615349504e-4,-0.0165556834675586,-0.0034473648273541,-0.00386946487306589
10,IP,0.0149011918283881,-0.00533999012546671,0.043261112004086603,0.0442219200542641
10,pre-IP,0.035724317507077,-0.00309787610935122,0.0296824028587976,-0.00415104574351251
11,IP,0.00529653109079682,0.0043955092650729,5.16156305907866e-4,0.00545708639215424
11,pre-IP,0.00253982452080674,0.0164636167432442,-0.0157829747688256,-0.00244131163777394
12,IP,-0.00405656962809544,-0.0202263735259759,-0.00781538362504543,-0.0112765614522927
12,pre-IP,0.00912060500753196,-0.00779007233349639,0.016153670684329,0.0179891012056499
13,IP,-0.0100647753340819,-0.00618533193133542,-0.00594665947550258,0.0146482880893236
13,pre-IP,0.00118126501850173,0.0228649067866772,-0.00634854514386329,-0.00953297100593807
14,IP,-0.0210667900820667,-0.0136502381568176,-0.0153654406487504,-8.17554879388688e-4
14,pre-IP,5.23588645710924e-5,0.0209175182143086,-0.00486679452561461,0.012149207216936
17,IP,0.00770112118068802,0.0111236650104431,-0.00782780110825292,0.0157525184778258
17,pre-IP,-0.00165771084842818,-0.0218085059213448,-0.00532352964266693,-5.08111328595233e-5
18,IP,-0.00418679953654449,0.00360424133648004,-0.0132526967547532,0.0159327907688031
18,pre-IP,-9.6543295348259e-5,-0.0136899476876997,0.00126190673501499,0.00559464224316912
19,IP,-0.00826143544426127,-0.00264084197475224,0.00153023584141468,9.91654576801709e-4
19,pre-IP,-0.00814503477899633,-0.0116384989047702,-0.00323877736616522,0.0121537885390841
20,IP,-4.22336933452408e-4,-0.00949233836921964,-0.00622130561692609,-0.0210601114589667
20,pre-IP,1.58369393323672e-4,-0.019407030076345,-0.0121014067575425,-0.0408895566715972
21,IP,0.00856046975166038,-0.00184344216455541,-0.020364172776102,-0.00516762730920627
21,pre-IP,-0.00831311719358501,-0.0235815846515946,0.0774305846528574,-0.00511264537438064
22,IP,0.00245094263230103,-0.00301298809213577,-0.00697372506028686,0.00979406218228264
22,pre-IP,0.0108579723639017,0.0116750928133796,0.0175366053398809,0.0152942058692548
23,IP,0.0246058765559598,0.0157222188989043,0.011346140202850701,0.0118625843296879
23,pre-IP,0.00785614276233432,0.0160861568612645,0.0111986098817401,0.00755964365645406
24,IP,6.04241679360441e-4,-0.00705751064133174,0.0118220882706419,-9.22886041511847e-4
24,pre-IP,-0.0148897136682703,-0.0169051462565924,-0.0110685318592426,0.00832398133376579
25,IP,0.0189611732518559,0.00541107389895481,-0.0108528061661904,0.0239249409427315
25,pre-IP,0.00781645883513374,0.00834400959825458,-0.0119578609412215,0.022778984311656
26,IP,0.0079044593873172,0.00305119044675988,0.0145881863782332,-0.00123591710750656
26,pre-IP,-0.0181600807924662,-0.0235520761206238,-0.0234112691772825,-0.014172082334113
27,IP,0.00198021075050888,-0.00702979232522141,0.00359074955492262,-0.00281456883708861
27,pre-IP,-7.59246158945827e-4,-0.0270657706499627,0.012507328517707,0.00502227529713055
28,IP,0.00966816624738612,0.00210797079638121,0.0196984348981603,0.0223006180880698
28,pre-IP,0.00382186682034647,0.00930062894570309,-0.00215755177538886,0.00862511697469965
29,IP,0.0113907573274111,-0.00565044212989268,-0.00992464420619056,0.00705046631687407
29,pre-IP,0.0326818871129494,-0.0197550791759722,0.0281006366228779,-0.0170135726499584
31,IP,0.00569700977403876,-2.99271365906731e-4,0.0126721913092201,-0.0354058962026971
31,pre-IP,0.00426660865796991,0.00508530522523241,-0.00236993921420067,-0.00790282826058144
32,IP,0.0029909028861891,-0.00645632682935258,0.0115145213468669,-0.0137938322204036
32,pre-IP,0.0203090050473755,0.0015134047800866,-0.0157146434104916,0.00257068511558704
33,IP,0.00267125411933144,0.00665211364225675,-0.0113384834278623,0.0132575338525093
33,pre-IP,-0.00604111061534852,-0.00801811613956191,-0.0190760089832128,0.0160242370073211
35,IP,7.00293525356757e-4,0.0195763597285728,0.00474840136268295,0.0137791749351664
35,pre-IP,0.00741304389352157,0.0172761322372214,0.0133807075804652,0.0151136351013058
36,IP,-7.26871749085914e-4,0.00315786305396877,-0.0603037882292673,0.00924404507939133
36,pre-IP,-0.00563709512989506,-0.00601138526776386,0.0149428918070336,0.0228804884619219
